,old_link,image,item_in_class_art,item,link,primary,secondary
24,https://www.minted.com//product/wall-art-prints/MIN-QJ5-GOA/dippin-in,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,24art.jpg,24art.jpg,https://www.minted.com//product/wall-art-prints/MIN-QJ5-GOA/dippin-in,[227.29280262 218.17194538 208.05490494],[157.17755715  79.62332043  75.6010727 ]
25,https://www.minted.com//product/wall-art-prints/MIN-QJL-GOA/rising-sun,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,25art.jpg,25art.jpg,https://www.minted.com//product/wall-art-prints/MIN-QJL-GOA/rising-sun,[231.59515663 210.62653026 111.8426708 ],[65.33117142 80.32604702 92.28473083]
26,https://www.minted.com//product/wall-art-prints/MIN-WQ8-GNA/domino-effect,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,26art.jpg,26art.jpg,https://www.minted.com//product/wall-art-prints/MIN-WQ8-GNA/domino-effect,[180.35904115 181.02905925 179.56451705],[48.39084003 69.66080038 77.99801317]
27,https://www.minted.com//product/wall-art-prints/MIN-B7S-GNA/peaceful-vines,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,27art.jpg,27art.jpg,https://www.minted.com//product/wall-art-prints/MIN-B7S-GNA/peaceful-vines,[188.00747128 174.27023652 134.0447625 ],[87.07180524 85.76163852 72.10747461]
28,https://www.minted.com//product/wall-art-prints/MIN-IZH-GNA/curaao,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,28art.jpg,28art.jpg,https://www.minted.com//product/wall-art-prints/MIN-IZH-GNA/curaao,[177.95989182 180.7010732  174.24367016],[58.64362888 73.81840951 74.36182605]
29,https://www.minted.com//product/wall-art-prints/MIN-YBD-GNA/tracks-no-3,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,29art.jpg,29art.jpg,https://www.minted.com//product/wall-art-prints/MIN-YBD-GNA/tracks-no-3,[115.67040731 107.04068427 106.9232128 ],[217.44064979 211.89638128 204.94737431]
30,https://www.minted.com//product/wall-art-prints/MIN-66M-GNA/terrazzo,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,30art.jpg,30art.jpg,https://www.minted.com//product/wall-art-prints/MIN-66M-GNA/terrazzo,[130.20788228  93.77931843  76.56758222],[213.36538981 206.72786368 200.24777037]
31,https://www.minted.com//product/wall-art-prints/MIN-08P-GNA/deep-blue-sea,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,31art.jpg,31art.jpg,https://www.minted.com//product/wall-art-prints/MIN-08P-GNA/deep-blue-sea,[147.29887185 137.21306428 130.36305377],[45.00887681 66.85637978 80.63918182]
32,https://www.minted.com//product/wall-art-prints/MIN-AMG-GNA/dance,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,32art.jpg,32art.jpg,https://www.minted.com//product/wall-art-prints/MIN-AMG-GNA/dance,[215.72807456 213.97110942 218.12757255],[125.83588092 124.0622134  128.46766475]
33,https://www.minted.com//product/wall-art-prints/MIN-FKP-GNA/mariners-muse,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,33art.jpg,33art.jpg,https://www.minted.com//product/wall-art-prints/MIN-FKP-GNA/mariners-muse,[180.12259626 182.72374206 182.69710663],[66.93186911 75.25737668 75.11041005]
34,https://www.minted.com//product/wall-art-prints/MIN-SRC-GNA/modern-black-stem,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,34art.jpg,34art.jpg,https://www.minted.com//product/wall-art-prints/MIN-SRC-GNA/modern-black-stem,[190.98762039 142.32444263 132.28278466],[20.80342847 19.23430628 18.6999842 ]
35,https://www.minted.com//product/wall-art-prints/MIN-WHO-GNA/becketts-poem,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,35art.jpg,35art.jpg,https://www.minted.com//product/wall-art-prints/MIN-WHO-GNA/becketts-poem,[200.20562862 189.21783034 184.04484296],[94.63905546 76.12561381 47.87435224]
36,https://www.minted.com//product/wall-art-prints/MIN-0W5-GNA/curve-appeal,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,36art.jpg,36art.jpg,https://www.minted.com//product/wall-art-prints/MIN-0W5-GNA/curve-appeal,[101.61879795 102.51950935 110.71116805],[192.66438958 190.36731741 192.67617118]
37,https://www.minted.com//product/wall-art-prints/MIN-P2Q-GNA/palmery-2,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,37art.jpg,37art.jpg,https://www.minted.com//product/wall-art-prints/MIN-P2Q-GNA/palmery-2,[48.83750468 48.83235806 48.82886552],[192.4429838  192.26043484 192.2350963 ]
38,https://www.minted.com//product/wall-art-prints/MIN-DYV-GNA/landscape,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,38art.jpg,38art.jpg,https://www.minted.com//product/wall-art-prints/MIN-DYV-GNA/landscape,[217.523076   212.85654749 211.96087933],[115.68901666 110.87274015  96.60653446]
39,https://www.minted.com//product/wall-art-prints/MIN-N2L-GNA/moody-blues-1,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QHZ/MIN-QHZ-GOA-002A_A_PD.jpg?_=16702&mntd_prf=OldCategory:Product,39art.jpg,39art.jpg,https://www.minted.com//product/wall-art-prints/MIN-N2L-GNA/moody-blues-1,[155.30276286 160.4488741  168.03694178],[ 81.97208933  90.69527138 100.2145932 ]
